Education,Marital_Status,Income,Recency,NumDealsPurchases,NumWebVisitsMonth,Complain,Customer_Since_Days,Age,Children,Total_Spent,Total_Purchases,Campaigns_Accepted,Segment
2n Cycle,Together,14515.0,71,4,7,0,597,45,1,96,7,0,1
2n Cycle,Divorced,31395.0,80,4,6,0,463,69,2,64,6,0,1
Graduation,Together,75276.0,2,1,5,0,640,60,0,1040,22,0,2
Graduation,Single,42373.0,83,5,5,0,318,51,2,163,8,0,3
Graduation,Together,30507.0,29,1,7,0,475,65,0,343,10,0,1
PhD,Single,55521.0,11,9,7,0,250,70,3,446,15,1,3
Graduation,Married,48006.0,55,1,6,0,20,60,2,41,4,0,1
PhD,Single,27213.0,19,3,8,0,668,53,1,70,6,0,3
PhD,Divorced,65808.0,1,3,6,0,30,54,2,272,11,0,1
Graduation,Married,50437.0,28,3,7,0,620,62,2,490,16,0,1
2n Cycle,Single,23616.0,76,2,8,0,589,43,1,79,6,0,3
Graduation,Married,53858.0,50,4,4,0,597,49,1,915,13,0,1
PhD,Married,66465.0,1,3,6,0,456,70,1,1485,32,1,2
Graduation,Single,46923.0,90,3,7,0,676,38,1,369,13,0,3
Graduation,Together,75072.0,83,2,3,0,522,63,1,1073,17,0,2
PhD,Married,75865.0,73,1,1,0,90,82,0,1242,18,0,2
2n Cycle,Together,19789.0,24,3,5,0,221,50,1,78,6,1,1
Graduation,Together,80134.0,11,1,5,0,135,31,0,1378,20,4,2
Graduation,Single,91065.0,33,1,3,0,492,44,0,1474,25,2,2
Master,Married,49505.0,4,9,8,0,481,54,2,751,20,0,0
PhD,Married,37401.0,14,2,7,0,54,52,1,48,5,0,1
Master,Together,18492.0,75,1,8,0,24,43,1,10,3,0,0
Master,Married,82584.0,26,1,1,0,390,51,0,1435,15,2,2
PhD,Married,93027.0,77,0,2,0,442,84,0,2119,22,1,2
Graduation,Married,48686.0,8,1,8,0,207,72,3,20,3,0,1
Graduation,Married,92910.0,42,1,1,0,66,39,0,1795,26,3,2
Graduation,Married,75433.0,28,2,6,0,85,36,1,1188,17,2,2
2n Cycle,Together,10404.0,52,2,5,0,56,36,1,43,5,0,1
Graduation,Married,61314.0,1,2,3,0,430,57,1,1008,22,0,2
PhD,Single,84865.0,1,1,4,0,416,64,0,1688,15,4,2
Graduation,Married,42387.0,42,5,8,0,608,36,1,684,16,0,1
2n Cycle,Together,67309.0,76,15,7,0,522,58,2,1082,24,0,1
Graduation,Married,75236.0,27,1,4,0,216,61,1,1068,24,0,2
Graduation,Single,30015.0,28,2,5,0,147,55,1,57,5,0,3
Master,Together,50943.0,49,1,5,0,373,69,1,46,4,0,0
Graduation,Divorced,67272.0,12,3,5,0,190,59,1,733,20,0,2
Master,Widow,51529.0,14,2,8,0,295,76,1,467,15,0,0
PhD,Married,32011.0,89,3,7,0,311,54,1,122,7,0,1
2n Cycle,Married,7500.0,96,2,8,0,507,39,1,36,5,0,1
Graduation,Married,28691.0,56,1,8,0,360,36,1,34,4,0,1
PhD,Married,56223.0,72,2,4,0,191,77,1,156,8,0,1
Graduation,Married,18100.0,14,1,5,0,327,79,0,14,3,0,1
2n Cycle,Married,20130.0,99,1,8,0,104,51,0,34,4,0,1
Graduation,Divorced,23295.0,72,1,8,0,351,66,0,20,3,0,1
Master,Divorced,42618.0,92,2,8,0,263,53,1,192,9,0,0
Graduation,Single,81246.0,87,1,1,0,182,61,0,1379,16,2,2
Graduation,Married,24027.0,7,2,8,0,385,49,1,48,5,0,1
PhD,Married,55707.0,91,2,3,0,189,72,1,428,14,0,1
Graduation,Single,57959.0,71,5,3,0,423,70,1,868,22,0,3
Graduation,Married,56796.0,24,3,7,0,498,56,1,1001,24,0,2
Master,Single,36230.0,17,1,5,0,255,54,1,59,6,0,0
2n Cycle,Married,70829.0,87,2,3,0,210,45,2,431,14,0,1
Graduation,Married,65991.0,21,3,7,0,660,49,1,971,24,0,2
Graduation,Married,38988.0,90,7,8,0,678,53,3,348,12,0,1
2n Cycle,Single,89572.0,44,1,4,0,652,59,0,2059,23,2,2
Master,Married,42207.0,71,4,6,0,454,41,1,265,10,1,0
Graduation,Married,50300.0,52,2,2,0,35,73,1,270,11,0,1
2n Cycle,Together,66664.0,78,1,3,0,642,43,0,1289,18,0,2
Graduation,Married,60597.0,2,4,7,0,179,61,1,893,12,1,1
Graduation,Widow,70165.0,60,1,1,0,280,76,0,926,21,0,2
PhD,Widow,50520.0,25,2,6,0,152,67,1,135,7,0,1
Graduation,Married,33183.0,46,2,7,0,125,50,1,120,7,0,1
PhD,Single,66582.0,83,1,1,0,118,56,0,1288,19,0,2
PhD,Together,75261.0,17,1,2,0,432,70,0,1743,16,2,2
Graduation,Widow,31880.0,13,1,8,0,606,55,1,15,3,0,1
Graduation,Married,53790.0,86,3,6,0,115,74,2,542,17,0,1
PhD,Together,49269.0,92,3,7,0,683,54,1,890,22,0,1
Graduation,Married,61456.0,47,4,4,0,459,50,1,1388,29,0,2
Graduation,Married,37406.0,18,1,8,0,262,45,1,17,3,0,1
PhD,Together,56937.0,81,7,6,0,694,44,1,906,23,1,2
Graduation,Married,38415.0,91,2,7,0,543,47,2,44,4,0,1
Graduation,Single,20518.0,58,1,5,0,42,37,1,25,4,0,3
Graduation,Married,62503.0,40,4,5,0,496,69,1,973,22,0,2
PhD,Single,41644.0,67,2,3,0,51,53,2,31,4,0,3
Master,Married,55842.0,19,1,5,0,37,48,1,518,16,0,0
PhD,Married,62010.0,93,4,5,0,614,53,1,530,15,0,1
Graduation,Married,41124.0,41,7,8,0,606,48,1,506,14,0,1
Master,Married,38961.0,60,1,7,0,181,52,1,70,5,0,0
Master,Divorced,37760.0,54,1,6,0,322,53,1,54,5,0,0
Graduation,Single,32233.0,26,2,9,0,679,51,1,296,10,1,3
Graduation,Married,43057.0,30,4,5,0,242,50,1,266,11,0,1
Master,Together,83151.0,93,1,3,0,627,65,0,747,18,0,0
PhD,Divorced,78825.0,35,1,3,0,653,61,0,895,28,0,2
Graduation,Married,60093.0,92,2,6,0,368,51,1,735,19,0,1
Graduation,Married,14045.0,24,1,7,0,154,56,1,20,4,0,1
2n Cycle,Widow,28457.0,96,1,8,0,609,73,0,205,9,0,1
PhD,Together,78952.0,11,2,6,0,643,67,1,2092,19,0,2
Graduation,Divorced,46310.0,99,2,8,0,573,49,1,309,12,0,1
Graduation,Together,76005.0,72,1,6,0,492,70,0,1722,21,1,2
Master,Single,58308.0,77,4,8,0,533,61,1,900,11,0,0
PhD,Divorced,55614.0,85,1,7,0,214,81,0,682,19,1,2
Master,Divorced,59432.0,88,3,5,0,442,63,1,663,19,0,0
Graduation,Divorced,55563.0,22,1,3,0,85,47,1,43,5,0,1
PhD,Together,78642.0,83,1,6,0,434,54,1,1816,17,0,2
PhD,Together,67911.0,63,3,3,0,38,76,1,976,24,0,2
Graduation,Married,65275.0,9,1,2,0,452,81,0,746,20,0,2
Graduation,Together,27203.0,92,2,8,0,692,75,2,64,4,0,1
Master,Together,48330.0,2,1,5,0,226,64,1,32,4,0,0
Basic,Married,24279.0,6,1,8,0,547,35,0,263,8,0,1
PhD,Married,64355.0,66,2,8,0,674,40,1,1445,19,0,2
Graduation,Widow,53653.0,29,2,6,0,599,72,0,1210,26,0,2
Graduation,Married,65665.0,77,1,3,0,209,49,1,945,23,0,2
Graduation,Single,81217.0,77,1,1,0,345,36,0,1157,21,0,2
Graduation,Married,34935.0,71,1,7,0,373,33,0,137,7,0,1
Graduation,Divorced,61250.0,49,6,5,0,560,66,1,730,19,0,2
PhD,Together,39665.0,97,3,7,0,400,44,1,216,9,1,1
Graduation,Single,60152.0,6,1,3,0,458,46,1,943,22,0,3
Graduation,Married,48920.0,93,3,7,0,252,61,2,347,13,1,1
Master,Together,89120.0,78,1,1,0,104,66,0,1924,18,1,2
PhD,Together,44124.0,62,4,8,0,414,79,1,397,13,0,1
Master,Single,81169.0,47,1,2,0,441,50,0,2089,21,0,2
Graduation,Married,36443.0,9,4,8,0,511,64,2,138,7,0,1
Graduation,Single,26095.0,77,1,7,0,364,35,1,42,4,0,3
Graduation,Together,71367.0,24,1,2,0,310,66,0,777,16,0,2
Master,Married,80184.0,19,1,3,0,120,81,0,1902,19,2,2
Graduation,Divorced,30630.0,67,2,7,0,153,60,2,52,5,0,1
Master,Single,73454.0,95,1,5,0,120,38,0,1651,12,1,0
Graduation,Married,42691.0,48,1,5,0,317,34,0,358,12,0,1
Graduation,Married,70503.0,73,1,6,0,637,72,0,1727,15,2,2
Graduation,Married,25545.0,35,3,6,0,659,38,1,210,7,0,1
Graduation,Married,32880.0,76,1,8,0,572,39,1,42,4,0,1
PhD,Together,77863.0,20,1,2,0,214,67,0,1291,19,0,2
Master,Married,50353.0,72,1,3,0,21,48,0,442,14,0,0
Graduation,Single,61839.0,20,1,8,0,686,61,0,1895,16,0,2
PhD,Married,49154.0,69,6,6,0,238,65,2,411,13,0,1
2n Cycle,Widow,47682.0,80,4,5,0,499,50,1,521,15,0,1
Graduation,Single,72679.0,65,1,1,0,284,56,1,1168,16,0,2
Master,Together,57954.0,52,7,7,0,11,48,2,493,16,1,0
Graduation,Married,65316.0,65,2,4,0,431,63,2,260,10,0,1
Graduation,Single,28567.0,57,2,6,0,377,43,1,46,5,0,3
Master,Together,47352.0,70,4,7,0,444,74,1,319,12,0,0
Graduation,Together,44931.0,0,1,5,0,162,58,1,96,6,0,1
Graduation,Divorced,76982.0,19,1,4,0,134,58,0,1062,15,1,2
2n Cycle,Together,57247.0,50,2,2,0,325,73,1,232,10,0,1
Master,Single,22944.0,67,3,7,0,188,44,1,76,6,0,0
2n Cycle,Together,25315.0,46,3,8,0,234,48,1,54,6,0,1
Graduation,Widow,43638.0,37,2,7,0,692,56,1,201,9,0,1
PhD,Single,42710.0,38,2,6,0,578,41,1,406,12,0,3
PhD,Married,84169.0,9,1,3,0,326,43,0,1919,19,2,2
Graduation,Together,54058.0,56,2,3,0,390,49,1,662,18,0,2
2n Cycle,Married,24683.0,98,2,5,0,113,35,1,41,6,0,1
Graduation,Widow,85620.0,68,1,1,0,173,61,0,1600,13,0,2
Graduation,Married,47850.0,72,1,6,0,208,45,1,134,7,0,1
Graduation,Married,19514.0,47,4,8,0,154,57,2,69,6,1,1
Master,Married,27159.0,33,2,6,0,92,52,2,21,4,0,0
2n Cycle,Single,39548.0,87,2,3,0,90,62,2,54,5,0,3
Graduation,Single,21474.0,0,2,7,0,82,36,1,91,6,1,3
PhD,Single,60504.0,73,2,6,0,142,54,1,526,16,0,3
Graduation,Married,22419.0,74,1,8,0,437,62,0,162,7,0,1
Master,Married,81698.0,4,1,1,0,235,76,0,1008,24,0,2
Graduation,Together,43462.0,50,6,8,0,655,73,2,240,10,0,1
PhD,Single,54880.0,57,2,5,0,485,47,1,795,19,0,3
Graduation,Married,79908.0,30,1,2,0,450,43,0,1772,18,1,2
2n Cycle,Married,15315.0,27,2,5,0,330,55,0,64,6,0,1
Graduation,Together,87771.0,61,1,6,0,403,66,1,1957,19,4,2
Graduation,Married,33039.0,4,1,5,0,293,47,1,78,6,0,1
Graduation,Single,81741.0,75,0,2,0,378,45,0,1572,19,0,2
Master,Together,71499.0,12,2,4,0,369,54,1,795,24,0,0
2n Cycle,Married,62466.0,13,5,4,0,165,55,1,889,21,0,2
PhD,Divorced,48799.0,9,3,3,0,236,62,1,331,12,0,1
PhD,Together,52157.0,48,2,4,0,22,75,1,265,10,0,1
Graduation,Single,66565.0,80,4,8,0,571,63,1,1065,15,0,3
Master,Together,29298.0,60,1,5,0,295,74,2,11,3,0,0
Graduation,Single,47691.0,43,1,6,0,359,46,1,21,3,0,3
Graduation,Together,38200.0,19,1,7,0,569,55,2,17,3,0,1
Graduation,Married,44989.0,26,5,6,0,655,51,1,369,11,0,1
PhD,Married,38443.0,58,2,7,0,153,57,2,38,4,0,1
2n Cycle,Single,38593.0,42,3,8,0,289,47,1,177,8,0,3
PhD,Together,64413.0,27,1,5,0,332,55,1,279,11,0,1
Master,Married,36959.0,56,2,8,0,270,44,1,62,5,0,0
PhD,Married,61996.0,27,3,5,0,514,48,1,1230,18,3,2
Graduation,Married,51287.0,10,3,7,0,89,57,2,182,8,0,1
Graduation,Married,13260.0,48,4,8,0,310,55,2,49,6,0,1
PhD,Together,47472.0,39,2,5,0,286,59,2,75,6,0,1
Master,Together,54603.0,85,6,7,0,355,69,2,227,10,0,0
PhD,Married,45207.0,64,5,6,0,596,51,2,215,10,1,1
2n Cycle,Together,47821.0,54,1,8,0,252,58,2,47,4,0,1
Master,Married,27450.0,57,1,7,0,440,74,0,143,6,0,0
Graduation,Together,39453.0,64,2,6,0,87,42,1,55,5,0,1
2n Cycle,Together,26850.0,10,4,4,0,72,54,2,63,7,0,1
Graduation,Widow,79800.0,65,1,3,0,644,70,0,1867,21,3,2
Master,Married,61794.0,74,2,2,0,288,64,1,611,18,0,0
Graduation,Together,53863.0,4,3,7,0,43,70,1,473,15,1,1
Graduation,Together,24221.0,94,1,4,0,313,66,0,55,5,0,1
PhD,Single,39684.0,41,2,7,1,625,41,1,81,5,0,3
Master,Married,92163.0,25,0,2,0,564,50,0,2086,21,2,2
Master,Single,69882.0,94,1,1,0,231,60,0,1478,19,0,2
Graduation,Together,33178.0,9,1,4,0,150,48,1,49,4,0,1
PhD,Married,59973.0,47,1,1,0,291,53,0,382,14,0,2
Master,Together,17459.0,12,3,7,0,283,50,1,69,6,0,0
Graduation,Divorced,23910.0,80,1,7,0,611,56,1,67,5,0,1
Master,Married,42169.0,20,2,8,0,253,56,2,30,4,0,0
2n Cycle,Married,26224.0,39,3,6,0,390,47,1,63,6,0,1
Graduation,Together,31089.0,57,3,8,0,681,44,1,79,7,0,1
Graduation,Single,30081.0,27,1,7,0,493,64,1,42,4,0,3
Graduation,Together,62807.0,83,3,5,0,667,65,1,819,20,0,2
Graduation,Single,72906.0,79,1,1,0,285,70,0,1151,16,0,2
PhD,Married,61467.0,69,3,5,0,567,77,2,594,17,0,1
Master,Together,49618.0,77,4,7,0,519,59,2,129,7,0,0
Master,Single,21888.0,15,4,10,0,547,39,1,213,8,0,0
Graduation,Divorced,26150.0,61,1,7,0,475,69,3,28,4,0,1
Basic,Married,30801.0,23,2,7,0,611,50,1,45,4,0,1
Graduation,Married,81168.0,84,1,3,0,53,60,0,1193,17,1,2
Master,Single,26877.0,74,2,6,0,314,56,0,268,10,0,0
Master,Widow,45006.0,90,1,3,0,346,81,0,266,11,0,0
Basic,Married,18978.0,41,1,8,0,565,52,1,37,4,0,1
PhD,Single,48240.0,73,3,5,0,597,56,0,882,22,0,3
Graduation,Married,45837.0,88,5,7,0,338,51,2,373,13,0,1
Master,Single,35791.0,94,2,8,0,419,60,3,35,4,0,0
PhD,Together,162397.0,31,0,1,0,391,49,2,107,1,0,2
Graduation,Widow,54162.0,31,1,4,0,468,47,2,42,4,0,1
Master,Married,30522.0,6,5,2,0,681,65,1,326,12,0,0
PhD,Married,54456.0,23,3,6,0,353,64,1,404,14,0,1
Graduation,Single,31632.0,92,1,7,0,350,54,0,95,5,0,3
Graduation,Widow,72298.0,52,1,1,0,111,76,0,939,13,2,2
2n Cycle,Single,36975.0,50,1,7,0,183,47,1,33,4,0,3
2n Cycle,Married,72635.0,54,1,3,0,391,70,0,981,20,1,2
Graduation,Married,13624.0,93,2,6,0,525,49,1,36,5,0,1
Graduation,Single,84196.0,56,1,3,0,391,50,1,1237,19,0,2
Graduation,Together,70971.0,28,7,7,0,646,65,1,1825,27,0,2
PhD,Divorced,34487.0,94,3,9,0,661,48,2,103,6,0,1
Graduation,Single,28769.0,76,3,9,0,558,48,1,191,9,0,3
PhD,Married,69084.0,43,2,8,0,222,55,1,1586,23,0,2
PhD,Together,65488.0,46,1,1,0,16,67,0,963,13,0,2
2n Cycle,Single,32218.0,27,1,7,0,134,65,0,93,6,1,3
Graduation,Single,83917.0,12,1,3,0,437,52,0,1587,20,0,2
Graduation,Divorced,46102.0,3,1,7,0,111,63,3,16,3,0,1
Graduation,Single,84574.0,72,1,5,0,390,73,0,1375,31,0,2
Graduation,Married,56181.0,6,1,4,0,537,63,1,393,13,0,1
Master,Divorced,63120.0,53,5,7,0,639,75,1,1477,21,0,0
Graduation,Married,73691.0,58,2,2,0,235,54,1,1179,16,1,2
PhD,Together,76140.0,57,1,2,0,47,77,0,1348,20,0,2
PhD,Divorced,62859.0,37,4,6,0,546,66,1,1307,19,0,2
Graduation,Single,45906.0,20,2,5,0,418,61,1,486,13,1,3
Master,Together,77632.0,73,1,2,0,476,78,0,2252,12,2,2
PhD,Married,46463.0,56,7,6,0,315,54,2,235,10,0,1
Graduation,Together,105471.0,36,0,3,0,524,55,0,1724,30,2,2
Master,Divorced,55282.0,9,1,4,0,198,55,1,235,10,0,0
Master,Married,78710.0,42,3,4,0,37,48,1,1092,25,0,0
Graduation,Together,66886.0,28,2,5,0,286,67,1,599,15,0,1
Master,Single,98777.0,23,0,1,0,132,65,0,2008,19,1,2
Graduation,Together,29103.0,38,2,9,0,671,40,1,48,4,0,1
Graduation,Married,67445.0,63,5,6,0,686,51,1,1174,27,0,2
PhD,Together,50616.0,71,1,2,0,77,75,1,67,6,0,1
Graduation,Divorced,49431.0,9,2,8,0,695,70,1,365,13,0,1
Graduation,Divorced,153924.0,81,0,0,0,142,50,0,6,0,0,2
Graduation,Together,61278.0,87,2,6,0,176,72,1,165,8,0,1
PhD,Together,73059.0,36,1,4,0,302,78,1,1095,25,0,2
PhD,Single,46734.0,86,4,6,0,251,59,3,223,8,1,3
Graduation,Together,56253.0,83,4,6,0,569,62,1,597,18,0,1
Graduation,Widow,58330.0,87,1,4,0,186,50,1,1064,23,0,2
Basic,Married,25965.0,29,1,8,0,660,45,0,74,5,0,1
Master,Together,14661.0,88,1,6,0,544,69,0,26,4,0,0
Graduation,Married,18690.0,77,1,8,0,548,66,0,60,4,0,1
PhD,Together,45068.0,25,1,7,0,409,51,1,20,3,0,1
Basic,Single,21063.0,34,2,6,0,277,38,1,59,5,0,3
PhD,Married,29187.0,43,1,8,0,416,57,1,34,4,0,1
2n Cycle,Married,54690.0,76,3,3,0,234,54,2,198,9,0,1
PhD,Married,59304.0,81,3,5,0,335,61,1,1048,25,0,2
Master,Single,59247.0,87,5,6,0,233,63,2,574,16,0,0
Graduation,Widow,66731.0,33,4,3,0,655,55,1,1029,13,0,2
Graduation,Married,77353.0,38,2,4,0,195,45,1,670,18,0,2
Graduation,Married,26751.0,26,1,8,0,38,51,2,11,3,0,1
PhD,Married,81300.0,17,3,5,0,607,62,1,1241,18,1,2
Graduation,Single,70337.0,75,1,1,0,178,46,0,576,16,0,2
2n Cycle,Married,36145.0,13,4,9,0,378,40,1,172,8,1,1
PhD,Single,65295.0,19,1,2,0,188,45,0,664,19,0,2
Graduation,Divorced,68118.0,51,2,6,0,254,62,1,928,21,0,2
Graduation,Divorced,68743.0,81,1,7,0,668,58,0,2074,29,0,2
2n Cycle,Together,41039.0,32,1,8,0,339,43,0,467,14,0,1
Graduation,Together,38946.0,84,2,5,0,248,70,1,257,10,0,1
Graduation,Together,65777.0,87,1,1,0,192,58,0,1146,16,0,2
PhD,Divorced,66476.0,99,2,4,0,479,49,1,689,18,0,2
PhD,Single,86857.0,96,1,2,0,655,53,0,2114,21,0,2
PhD,Married,160803.0,21,15,0,0,694,43,0,1717,29,0,2
PhD,Together,77845.0,40,1,1,0,44,36,0,1346,20,2,2
PhD,Together,69476.0,3,1,2,0,272,56,0,1044,14,0,2
PhD,Divorced,50611.0,98,6,6,0,633,65,1,493,16,1,1
Graduation,Single,61209.0,73,1,2,0,308,55,0,957,12,0,3
Master,Together,42315.0,90,3,3,0,352,67,1,270,9,0,0
Basic,Together,13084.0,29,1,6,0,239,73,0,29,4,0,1
Master,Widow,47570.0,3,3,7,0,396,76,2,121,6,0,0
Master,Married,61923.0,94,1,3,0,338,64,2,126,7,0,0
Graduation,Single,34824.0,65,1,6,0,95,30,0,23,3,0,3
PhD,Single,26518.0,33,3,8,0,447,76,2,57,5,0,3
Graduation,Single,45938.0,46,2,6,0,238,64,0,636,18,0,3
Graduation,Together,78468.0,29,1,4,0,81,65,0,1004,27,1,2
Graduation,Divorced,78901.0,99,3,4,0,285,52,1,734,17,0,2
Graduation,Married,71427.0,26,2,4,0,109,47,2,614,18,0,1
Graduation,Divorced,71022.0,30,3,8,0,138,47,1,1453,18,1,2
Master,Single,90247.0,27,1,1,0,61,37,0,1621,14,3,2
Master,Divorced,41335.0,24,3,7,0,185,57,1,187,9,0,0
PhD,Divorced,35682.0,34,1,2,0,2,55,1,57,5,0,1
Graduation,Divorced,43185.0,88,2,8,0,445,74,1,637,18,0,1
PhD,Together,66375.0,96,3,7,0,220,77,1,948,11,1,2
Graduation,Married,25252.0,26,1,8,0,352,39,1,18,3,0,1
Master,Single,55250.0,49,4,5,0,616,60,1,903,22,0,0
Graduation,Single,33249.0,11,2,6,0,494,50,1,112,6,0,3
Graduation,Together,58398.0,44,3,4,0,411,72,0,596,17,0,2
Graduation,Together,50272.0,75,3,7,0,326,43,1,233,10,0,1
PhD,Married,76618.0,64,1,1,0,569,50,0,1511,10,0,2
2n Cycle,Divorced,87305.0,19,1,2,0,644,65,0,1152,16,1,2
Graduation,Together,25851.0,45,2,7,0,503,47,1,48,5,0,1
Graduation,Divorced,58710.0,77,6,6,0,455,55,1,1185,25,0,2
Graduation,Single,45160.0,9,1,7,0,92,67,2,21,3,0,3
Master,Married,74806.0,1,2,4,0,557,60,1,965,14,0,0
Graduation,Married,59111.0,90,1,7,0,423,71,0,869,20,0,2
PhD,Married,18988.0,43,2,7,0,37,41,1,16,4,0,1
Graduation,Married,72190.0,79,1,3,0,501,60,0,1947,15,0,2
Graduation,Married,7500.0,19,5,9,0,697,49,1,71,7,1,1
Graduation,Married,80395.0,62,1,2,0,218,70,0,1380,23,1,2
Master,Divorced,75012.0,41,1,1,0,155,49,0,1027,22,0,2
Master,Married,56962.0,60,7,7,0,261,60,3,411,14,0,0
Graduation,Together,89891.0,17,1,4,0,440,34,0,836,25,1,2
PhD,Divorced,35946.0,24,1,5,0,275,76,2,11,3,0,1
PhD,Together,53593.0,60,8,8,0,691,72,2,480,15,0,1
PhD,Divorced,45072.0,74,5,8,0,256,77,3,284,11,0,1
Graduation,Divorced,89694.0,22,3,5,0,263,52,2,1472,11,3,2
Graduation,Married,72025.0,46,1,2,0,61,76,0,1677,25,3,2
Graduation,Married,67432.0,69,2,4,0,457,52,1,1335,17,0,2
Master,Together,70545.0,29,1,2,0,26,73,1,334,12,0,0
Basic,Married,17487.0,37,1,7,0,468,36,1,18,3,0,1
Graduation,Together,62882.0,26,2,4,0,689,56,1,1338,18,0,2
PhD,Single,64108.0,8,4,5,0,463,72,1,1099,26,0,2
Master,Together,34941.0,26,2,8,0,480,69,2,97,6,0,0
PhD,Single,48767.0,79,3,5,0,179,75,3,63,6,0,3
2n Cycle,Together,38702.0,71,2,6,0,332,47,1,109,7,0,1
Graduation,Married,82224.0,83,1,3,0,155,61,0,902,20,1,2
Graduation,Together,83844.0,57,1,1,0,413,73,0,1574,19,1,2
2n Cycle,Married,17003.0,37,3,5,0,202,50,1,38,6,0,1
Graduation,Single,71163.0,30,1,1,0,112,30,0,960,23,0,2
Graduation,Single,33697.0,34,1,7,0,287,55,1,28,3,1,3
2n Cycle,Married,63564.0,0,1,6,0,151,71,0,1215,27,1,2
PhD,Together,83443.0,89,1,2,0,180,53,0,1497,21,0,2
PhD,Together,51518.0,92,2,3,0,269,67,1,449,15,0,1
Graduation,Married,80952.0,20,1,8,0,486,56,0,1757,24,3,2
Graduation,Together,75507.0,56,1,3,0,58,46,0,1440,20,0,2
2n Cycle,Together,63855.0,28,1,4,0,505,47,0,1006,23,0,2
PhD,Together,62220.0,55,5,6,0,687,53,1,1226,18,0,2
Graduation,Married,58512.0,25,5,8,0,283,61,1,1171,15,0,1
Master,Married,40662.0,0,2,4,0,471,46,1,92,6,0,0
PhD,Married,38829.0,86,1,5,0,84,66,1,99,7,0,1
2n Cycle,Married,35523.0,8,2,7,0,269,44,1,66,6,0,1
Graduation,Single,79146.0,33,2,6,0,66,58,2,564,17,0,3
Master,Married,78285.0,13,1,3,0,244,37,0,1427,20,0,2
PhD,Single,31626.0,12,1,7,0,415,47,1,86,5,1,3
Graduation,Single,75127.0,92,1,1,0,38,73,0,833,18,0,2
Graduation,Married,48726.0,90,3,6,0,428,70,1,242,9,0,1
Graduation,Married,74985.0,8,1,2,0,656,48,0,1869,16,0,2
Graduation,Together,67430.0,6,1,6,0,662,38,0,1364,28,0,2
2n Cycle,Married,46891.0,91,1,4,0,301,60,1,183,7,0,1
Master,Married,62058.0,52,4,6,0,399,69,1,450,14,0,0
Graduation,Married,72063.0,3,2,2,0,361,46,1,758,19,0,2
PhD,Married,78939.0,57,1,3,0,199,74,0,1507,19,0,2
Graduation,Single,42720.0,9,8,8,0,431,60,2,654,17,0,3
Graduation,Married,33622.0,22,3,7,0,442,53,2,81,6,0,1
PhD,Together,6835.0,76,0,20,0,568,68,1,137,1,0,1
Graduation,Together,41452.0,86,1,7,0,480,72,2,16,3,0,1
PhD,Single,40760.0,64,2,6,0,303,60,1,93,6,0,3
PhD,Together,74250.0,90,1,1,0,154,67,0,1158,17,0,2
Master,Single,51124.0,79,2,3,0,193,70,2,43,4,0,0
Graduation,Single,72258.0,28,2,2,0,290,54,1,1525,20,0,2
PhD,Single,71466.0,86,1,1,0,85,51,0,1230,18,0,2
Graduation,Together,36283.0,42,2,4,0,76,49,2,29,4,0,1
Graduation,Single,20587.0,39,1,7,0,49,55,1,25,4,0,3
Graduation,Married,30467.0,8,1,7,0,102,53,1,24,3,0,1
Graduation,Together,31590.0,40,1,8,0,376,53,1,38,4,0,1
Basic,Married,20425.0,5,2,7,0,608,39,1,57,5,0,1
Master,Together,17144.0,96,5,7,0,134,65,2,47,7,0,0
PhD,Divorced,42564.0,28,6,7,0,543,57,1,813,18,1,1
Master,Married,43783.0,22,6,7,0,31,47,1,629,16,1,0
Graduation,Divorced,40780.0,30,4,9,0,659,49,1,377,13,0,1
Master,Together,62847.0,45,1,2,0,530,80,0,1612,13,0,0
PhD,Married,82017.0,58,1,2,0,599,68,0,729,16,3,2
Graduation,Single,16813.0,49,1,7,0,345,75,0,50,5,1,3
Graduation,Married,51267.0,37,4,4,0,243,47,2,270,11,0,1
Graduation,Single,46524.0,70,2,3,0,450,64,1,177,7,0,3
Master,Single,45183.0,33,1,7,0,525,63,0,315,12,1,0
PhD,Married,70421.0,98,3,6,0,1,71,1,767,20,0,2
2n Cycle,Divorced,60161.0,17,3,8,0,614,60,1,1071,23,0,2
Graduation,Together,73926.0,54,1,3,0,484,52,0,1580,23,0,2
Graduation,Married,19329.0,39,3,8,0,197,57,1,60,7,0,1
Master,Married,61872.0,81,4,4,0,198,55,1,573,17,0,0
Graduation,Widow,46984.0,71,1,5,0,460,69,2,41,4,0,1
Graduation,Married,34838.0,62,3,6,0,526,74,2,170,7,0,1
PhD,Single,82716.0,8,1,2,0,236,81,0,1167,27,0,2
Graduation,Married,48192.0,76,3,8,0,449,67,0,1526,22,3,2
Master,Married,49681.0,66,6,7,0,237,49,2,458,15,0,0
Master,Married,56850.0,83,1,2,0,98,54,1,63,5,0,0
Graduation,Married,55267.0,28,4,3,0,251,68,1,405,13,0,1
Graduation,Married,59666.0,87,7,8,0,464,53,2,1027,13,1,1
Graduation,Single,72504.0,43,2,2,0,449,53,1,1478,20,0,2
Graduation,Married,26872.0,0,1,6,0,256,44,0,72,4,0,1
Graduation,Single,21359.0,1,2,8,0,435,53,1,48,5,0,3
Graduation,Single,73170.0,1,1,2,0,29,50,0,726,15,0,2
Master,Married,52750.0,72,6,4,0,510,70,1,860,21,0,0
